trading_name,ticker
HSI 19600MBeCW240730,FGFW.SI
PHIL-CU MS CHINA A50 S$,MCN.SI
HSI 7xLongSG251029,CXPW.SI
OUE,LJ3.SI
DBS MB ePW241202,YUEW.SI
Creative,C76.SI
UOB MB eCW240925,YRSW.SI
SPDR S&P500 US$,S27.SI
Banyan Tree,B58.SI
Ho Bee Land,H13.SI
PetroCH 5xLongSG241030,DIKW.SI
Sembcorp 5xLongSG250410,DWIW.SI
Prime US ReitUSD,OXMU.SI
TencentMBePW241203,IAIW.SI
Alibaba MB eCW240802,YS6W.SI
STEng 5xLongSG250515,DHQW.SI
DBS MB eCW240925,EQJW.SI
SGX 5xShortSG241218,DPGW.SI
WuxiBio MBePW241104,JEFW.SI
Meituan 5xShortSG250320,GUBW.SI
UOB MB eCW241227,9UGW.SI
Hiap Hoe,5JK.SI
Alibaba 5xShortSG250320,IXJW.SI
BYD MB eCW241203,R28W.SI
Astrea7A1 4.125%320527#,V7AB.SI
BYD 5xShortSG241209,DWOW.SI
CLIFE MBePW241203,KQTW.SI
OCBC Bk MB ePW241202,LWHW.SI
Alibaba 5xLongSG250904,DISW.SI
Jiutian Chemical,C8R.SI
China Everbright,U9E.SI
SIIC Environment,BHK.SI
Tencent 5xShortSG250320,EGCW.SI
HKEx MB eCW240802,PRJW.SI
S&P 5800MBeCW241220,XP5W.SI
AIA MBePW241203,ZCIW.SI
Meituan 5xLongSG251113,DVXW.SI
YangzijiMBeCW241227,X1HW.SI
Lion-OSPL China L S$,YYY.SI
Adventus,5EF.SI
Kuaisho MB eCW240802,ZB2W.SI
Delfi,P34.SI
BYD 5xLongSG250626,DEVW.SI
Comfort 5xLongSG250716,DQVW.SI
JD MB ePW241203,MGCW.SI
OCBC Bk MB eCW240925,YQAW.SI
AIA 5xShortUB250430,1X5W.SI
Ossia Intl,O08.SI
Wilmar 5xLongSG241218,DNWW.SI
CityDev 5xLongSG241218,DYEW.SI
Kimly,1D0.SI
HSTECH 7xLongUB260130,FLBW.SI
Frasers Property,TQ5.SI
Far East Orchard,O10.SI
Global Inv,B73.SI
Global Inv,B73.SI
Multi-Chem,AWZ.SI
AIS TH SDR,TADD.SI
Sunny 5xLongSG251216,JVEW.SI
CNOOC 5xLongUB250228,SNEW.SI
COSCO 5xLongUB250430,WPBW.SI
Hiap Seng Ind,1L2.SI
Astrea VI3%B310318#,6AZB.SI
SMI Vantage^,Y45.SI
IREIT Global SGD,UD1U.SI
DBS MB ePW240925,FOQW.SI
HSI 16600MBePW240829,IFZW.SI
CityDev 5xLongSG250226,DCVW.SI
Nippecraft,N32.SI
IS INDIA CLIMATE S$D,QK9.SI
NetEase 5xLongSG251216,EHPW.SI
ChinaSunsine,QES.SI
MM2 Asia,1B0.SI
Atlantic Nav,5UL.SI
IS ASIA BND S$D,QL2.SI
Daiwa Hse Log Tr,DHLU.SI
CapInv 5xShortSG241218,DXOW.SI
SiMSCI 7xShortSG250716,CXZW.SI
SIA 5xShortSG250716,DRQW.SI
CNMC Goldmine,5TP.SI
NetEase 5xLongSG250924,HLJW.SI
Delta TH SDR,TDED.SI
LS 2 Holdings,ENV.SI
YHI Intl,BPF.SI
Tencent 5xLongSG251113,DYSW.SI
Hotel Grand,H18.SI
Meituan 5xShortUB250127,HQLW.SI
Pollux Prop,5AE.SI
SiMSCI 5xShortSG260226,CWPW.SI
Geely 5xLongUB250630,HUTW.SI
HSTECH 7xLongSG251216,UQTW.SI
Trendlines,42T.SI
Galaxy 5xShortUB250127,MVKW.SI
ISOTeam,5WF.SI
BHG Retail Reit,BMGU.SI
LHN,41O.SI
Kuaisho MB ePW241104,Q66W.SI
SGX MB eCW241002,TSNW.SI
NetEase 5xLongUB251128,FRGW.SI
Q&M Dental,QC7.SI
XT MSCHINA S$,TID.SI
GuocoLand,F17.SI
Alibaba 5xShortUB250127,FRLW.SI
DBS MB eCW241227,PRZW.SI
Sabana Reit,M1GU.SI
HKEx MB eCW241203,KSMW.SI
QAF,Q01.SI
Zheneng Jinjiang,BWM.SI
Thomson Medical,A50.SI
SUTL Enterprise,BHU.SI
Meituan 5xLongUB250630,TVBW.SI
HSI 17400MBeCW240730,5XBW.SI
Addvalue Tech^,A31.SI
Siam Cement TH SDR,TSCD.SI
BRC Asia,BEC.SI
Kasikorn Bank TH SDR,TKKD.SI
Meituan 5xLongSG241126,DRKW.SI
IHH,Q0F.SI
Kuaisho 5xLongUB251128,MNCW.SI
OCBC Bk MB eCW241105,RMIW.SI
HSI 20600MBeCW240730,JHTW.SI
BYD 5xLongSG250116,DQUW.SI
HSI 5xLongSG261029,CVMW.SI
TC Auto,VI2.SI
JD 5xShortSG250320,VPYW.SI
HKEx 5xLongSG251113,DVWW.SI
Yeo Hiap Seng,Y03.SI
OKP,5CF.SI
SATS 5xLongSG260716,DQXW.SI
CLIFE 5xShortUB250321,UGNW.SI
Alibaba MB ePW241203,47GW.SI
Aspen,1F3.SI
Venture 5xShortSG241218,DPZW.SI
Oxley,5UX.SI
Sim Leisure,URR.SI
JD MB eCW241003,IWQW.SI
Civmec,P9D.SI
HSTECH3xShortMA260327US$,ISTW.SI
HSBC MBeCW241203 75,HEYW.SI
Heeton,5DP.SI
SBS Transit,S61.SI
Venture MB eCW241230,VR2W.SI
UOB 5xShortSG241024,DGJW.SI
Clearbridge,1H3.SI
HSTECH 7xLongSG250304,CYPW.SI
FPTrea 4.49%270916XB#,EHZB.SI
HKEx 5xShortUB250127,W8PW.SI
Acesian Partners,5FW.SI
InnoTek,M14.SI
CLIFE MBeCW241203,KDOW.SI
Nasdaq 7xShortSG260324,NCTW.SI
Sembcorp 5xLongSG250709,DYHW.SI
HSTECH 5xLongSG250904,CWRW.SI
UOB MB ePW240925,95XW.SI
Stamford Tyres,S29.SI
Chuan Hup,C33.SI
HSBC 5xShortSG250205,DELW.SI
17LIVE GROUP,LVR.SI
Keppel 5xShortSG241218,DUKW.SI
Keppel 5xShortUB250530,44RW.SI
Lion-OSPL APAC Fin S$,YLD.SI
HSI3xShortMA260327US$,IHHW.SI
GKE,595.SI
Baker Technology,BTP.SI
DBS 5xShortUB250530,GPSW.SI
Genting 5xShortSG241218,DVFW.SI
Lenovo 5xLongSG251113,DYTW.SI
Meituan 5xLongSG250924,NUGW.SI
HSCEI3xShortMA260327US$,IHSW.SI
STEng 5xShortSG250515,DIGW.SI
Meituan MB ePW240903,XWYW.SI
SATS 5xShortSG250515,DEFW.SI
Alibaba 5xLongUB250930,PHHW.SI
F & N,F99.SI
Sembcorp 5xShortSG250709,DVNW.SI
JD 5xLongSG251113,DWYW.SI
GSS Energy,41F.SI
Tuan Sing,T24.SI
Nasdaq 7xShortSG261029,CXXW.SI
Avarga,U09.SI
Alibaba 5xLongSG251113,DKPW.SI
Hong Leong Asia,H22.SI
HSI 5xLongUB251031,JHXW.SI
PSC Corporation,DM0.SI
SGX MB ePW241002,47JW.SI
HSI 15400MBePW240730,RMXW.SI
PingAn 5xShortUB250127,NLPW.SI
Tencent 5xLongSG250904,DUWW.SI
JD 5xShortUB250127,NWDW.SI
Spura Finance,S23.SI
Isetan,I15.SI
Tencent 5xLongUB250930,SSKW.SI
Venture 5xLongSG250226,DCXW.SI
IS INDIA CLIMATE US$,I98.SI
Bilibili 5xLongSG250306,DJVW.SI
KSH,ER0.SI
Hotel Royal,H12.SI
COSCO 5xLongUB251031,9W2W.SI
KingsmenCreative,5MZ.SI
IS ASIA HYG S$D,QL3.SI
PetroCH 5xLongUB250430,9J2W.SI
SIA 5xLongSG250709,DZTW.SI
Bonvests,B28.SI
Tencent 5xLongUB250228,OOSW.SI
CF VN 30 SC ETF SG$,VNM.SI
Kuaisho 5xLongSG240709,DWMW.SI
CityDev 5xLongUB250530,YS5W.SI
Sunpower,5GD.SI
CNOOC 5xShortSG250320,XHHW.SI
Xiaomi 5xLongSG251113,DKRW.SI
XIAOMI MBePW241104,YF5W.SI
Lion-OCBC Sec HSTECH US$,HSS.SI
HSCEI3xLongMA260327US$,HCLW.SI
HSTECH 7xLongSG251218,ILKW.SI
Azeus,BBW.SI
Darco Water Tech,BLR.SI
Del Monte Pac,D03.SI
Tencent 5xShortUB250127,9NDW.SI
PTTEP TH SDR,TPED.SI
Grand Banks,G50.SI
CMOB 5xShortSG250213,DUHW.SI
Grand Venture,JLB.SI
Nordic,MR7.SI
Venture 5xLongSG260904,DVSW.SI
S&P 7xShortSG241016,CXIW.SI
S&P 5350MBePW241220,5B5W.SI
Wilmar 5xLongUB250630,VNBW.SI
UOB 5xLongSG250226,DJSW.SI
Soilbuild ConstW240729,SYYW.SI
CMOB 5xLongUB250228,MJHW.SI
HSBC 5xLongUB250127,FGIW.SI
Oceanus,579.SI
YangzijiMBePW241227,GPUW.SI
Genting 5xLongSG250226,DFUW.SI
Sembcorp 5xLongSG250515,DFKW.SI
KeppelMBeCW241002,YW6W.SI
LiNing MBePW241203,RBBW.SI
JD 5xLongSG250116,DPPW.SI
AnnAik,A52.SI
CreditBureauAsia,TCU.SI
Kuaisho 5xLongSG250904,DQZW.SI
UOB AP GRN REIT S$,GRN.SI
TCIL HK$,T15.SI
Metro,M01.SI
TeleChoice Intl^,T41.SI
SingHoldings,5IC.SI
CCB 5xShortSG250320,EXXW.SI
Singtel 5xLongUB250630,WQBW.SI
XT SingGovBond SG$,KV4.SI
Koh Eco,5HV.SI
CLIFE 5xLongSG251113,DJYW.SI
WinkingStudios,WKS.SI
STEng MBeCW241203,RGUW.SI
Baidu 5xLongSG250924,PYDW.SI
Alpina Holdings,ZXY.SI
Aspial Corp,A30.SI
Trek 2000 Intl^,5AB.SI
CSOP SEA TECH ETF S$,SQQ.SI
HSI 20400MBeCW240829,SAGW.SI
Xiaomi 5xShortSG241114,DRSW.SI
Gallant Venture,5IG.SI
Sunny MB ePW241203,WJDW.SI
Intraco^,I06.SI
AF Global,L38.SI
Hoe Leong,H20.SI
SAM Holdings,9G2.SI
Venture MB eCW240731,9SAW.SI
Mencast,5NF.SI
ARA HTrust USD,XZL.SI
Sri Trang Agro,NC2.SI
5E Resources,NLC.SI
Straco,S85.SI
Sunny 5xShortSG241209,DXVW.SI
Hotung Inv,BLS.SI
Meituan 5xLongSG251216,OZDW.SI
Keppel 5xLongSG250410,DUMW.SI
Intl Cement,KUO.SI
XMH^,BQF.SI
Alibaba 5xLongUB250630,NQEW.SI
Enviro-Hub,L23.SI
Metis Energy^,L02.SI
SingtelMBeCW241002,XSDW.SI
OCBC Bk MB ePW240925,WASW.SI
HC Surgical,1B1.SI
Hock Lian Seng,J2T.SI
Raffles Edu,NR7.SI
Galaxy 5xLongSG250515,YKVW.SI
NC22300W 720801,MOFB.SI
PingAn MB ePW241203,JEGW.SI
AMOS Group^,49B.SI
CMB 5xLongSG240801,DJLW.SI
9R,1Y1.SI
Keppel 5xLongSG250904,DKZW.SI
Totm Tech,42F.SI
ThaiBev 5xLongSG250716,DPRW.SI
Alset,40V.SI
SingaporeLandGrp,U06.SI
OKH Global,S3N.SI
Sands MB ePW241203,NDEW.SI
Audience,1AZ.SI
Tencent 5xShortUB250321,XR6W.SI
HSI 7xShortSG251029,CWXW.SI
Amundi MSIndia US$,G1N.SI
Sunny 5xShortUB250127,RGMW.SI
TalkMed,5G3.SI
Huationg Global,41B.SI
CSC,C06.SI
SIA MB eCW240925,GSJW.SI
HSI 7xLongUB251031,WBQW.SI
IX Biopharma,42C.SI
Spindex Ind,564.SI
SiMSCI 7xLongSG260226A,CXLW.SI
STI 5xShortSG250529,CYGW.SI
H2G Green,5AI.SI
HSI 5xLongUB250430,TCCW.SI
Geely 5xLongUB250930,56DW.SI
HSI 7xLongSG240912,CZHW.SI
NeraTel,N01.SI
Southern Arch,A33.SI
VICOM Ltd,WJP.SI
NoSignboard,9I7.SI
Hiap Tong,5PO.SI
APAC Realty,CLN.SI
PingAn 5xLongUB251031,ZCLW.SI
CityDev MBeCW241127,MOGW.SI
Geely MB eCW241203,JVKW.SI
NSL,N02.SI
Keppel 5xLongUB250530,XMDW.SI
CFM,5EB.SI
Federal Int,BDU.SI
Casa,C04.SI
Galaxy 5xLongSG250626,DRJW.SI
KeppelMBePW240902,QHJW.SI
Kuaisho 5xLongSG251216,XIRW.SI
Miyoshi,M03.SI
Old Chang Kee,5ML.SI
Nasdaq 7xLongSG241126,CUXW.SI
CLIFE 5xShortSG250320,95DW.SI
BeverlyJCG,9QX.SI
