Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,year,month,day
32.345455169677734,32.400001525878906,32.154544830322266,32.272727966308594,28.339406967163086,4171310,0.0,0.0,2022,1,13
16.8454532623291,16.92727279663086,16.754545211791992,16.909090042114258,12.06663703918457,6046590,0.0,0.0,2017,2,17
12.618181228637695,12.736363410949707,12.581817626953125,12.618181228637695,7.5738677978515625,4818000,0.0,0.0,2012,3,7
18.790908813476562,18.790908813476562,18.618181228637695,18.718181610107422,12.46939468383789,3160300,0.0,0.0,2014,12,30
14.0,14.045454025268555,13.909090042114258,13.972726821899414,9.58131217956543,5156360,0.0,0.0,2016,3,15
12.0,12.272727012634277,11.909090042114258,12.090909004211426,5.4434285163879395,8969400,0.0,0.0,2003,10,2
32.45454406738281,32.57272720336914,32.29090881347656,32.57272720336914,31.60320472717285,4868270,0.0,0.0,2024,3,22
28.899999618530273,28.909090042114258,28.636362075805664,28.66363525390625,27.810466766357422,3597220,0.0,0.0,2023,12,20
16.200000762939453,16.227272033691406,16.0,16.136362075805664,11.064948081970215,3516810,0.0,0.0,2015,9,3
14.454545021057129,14.518180847167969,14.372727394104004,14.409090042114258,9.283862113952637,5382300,0.0,0.0,2013,8,28
27.10909080505371,27.245454788208008,27.009090423583984,27.172727584838867,23.367204666137695,2704020,0.0,0.0,2021,6,10
14.090909004211426,14.454545021057129,14.0,14.454545021057129,6.04164457321167,2754400,0.0,0.0,2001,4,27
7.727272033691406,7.727272033691406,7.618181228637695,7.618181228637695,4.115522861480713,5780500,0.0,0.0,2009,1,23
9.454545021057129,9.63636302947998,9.272727012634277,9.454545021057129,4.203309059143066,3557400,0.0,0.0,2003,7,1
14.354544639587402,14.409090042114258,14.272727012634277,14.409090042114258,10.077486991882324,3683240,0.0,0.0,2016,7,12
18.18181800842285,18.818180084228516,18.0,18.636362075805664,7.678235054016113,4258100,0.0,0.0,2000,3,8
24.53636360168457,24.718181610107422,24.445453643798828,24.700000762939453,18.16591453552246,9225370,0.0,0.0,2018,1,24
27.190908432006836,27.509090423583984,27.190908432006836,27.4818172454834,23.88531494140625,3354340,0.0,0.0,2021,9,1
11.727272033691406,11.727272033691406,11.090909004211426,11.181818008422852,4.769152641296387,2849000,0.0,0.0,2001,9,13
14.63636302947998,14.818181037902832,14.454545021057129,14.545454025268555,6.984099864959717,15341,0.0,0.0,2006,3,22
20.09090805053711,20.18181800842285,19.545454025268555,19.636362075805664,9.804999351501465,9015,0.0,0.0,2007,4,19
13.62727165222168,13.62727165222168,13.454545021057129,13.545454025268555,8.452574729919434,2956800,0.0,0.0,2012,12,21
17.200000762939453,17.327272415161133,17.200000762939453,17.327272415161133,12.365059852600098,3777950,0.0,0.0,2017,3,6
23.9818172454834,23.990909576416016,23.472726821899414,23.636362075805664,17.383647918701172,4404290,0.0,0.0,2018,1,18
15.190909385681152,15.199999809265137,14.899999618530273,14.909090042114258,9.451349258422852,7546000,0.0,0.0,2013,6,5
12.727272033691406,12.727272033691406,12.618181228637695,12.718180656433105,7.788001537322998,4490200,0.0,0.0,2012,7,2
10.545454025268555,10.872727394104004,10.509090423583984,10.727272033691406,5.950835227966309,13299000,0.0,0.0,2009,5,29
29.418180465698242,29.836362838745117,29.327272415161133,29.77272605895996,28.06932258605957,2957335,0.0,0.0,2023,7,25
14.872727394104004,14.954545021057129,14.718180656433105,14.763635635375977,10.325450897216797,3885200,0.0,0.0,2016,7,25
13.199999809265137,13.209090232849121,13.109089851379395,13.181818008422852,8.225661277770996,4219600,0.0,0.0,2012,9,21
14.272727012634277,14.363636016845703,14.181818008422852,14.272727012634277,6.4257001876831055,2604800,0.0,0.0,2004,1,19
8.63636302947998,8.681818008422852,8.5,8.545454025268555,3.730069875717163,3091000,0.0,0.0,2003,4,3
13.472726821899414,13.745453834533691,13.472726821899414,13.690909385681152,7.909952163696289,10379600,0.0,0.0,2011,1,26
23.636362075805664,23.745454788208008,23.563636779785156,23.636362075805664,19.111631393432617,8656450,0.0,0.0,2020,1,10
30.727272033691406,30.745454788208008,30.200000762939453,30.263635635375977,28.93793487548828,4509340,0.0,0.0,2023,8,15
13.381817817687988,13.52727222442627,13.345454216003418,13.52727222442627,7.815411567687988,3010700,0.0,0.0,2011,5,10
30.409090042114258,30.53636360168457,30.27272605895996,30.381818771362305,27.553415298461914,3224650,0.0,0.0,2022,10,5
17.46363639831543,17.672727584838867,17.454544067382812,17.59090805053711,12.553194046020508,8385520,0.0,0.0,2017,4,28
18.16363525390625,18.16363525390625,18.03636360168457,18.05454444885254,9.360271453857422,8074000,0.0,0.0,2008,4,30
12.63636302947998,12.818181037902832,12.63636302947998,12.818181037902832,5.7708539962768555,3792800,0.0,0.0,2004,4,7
19.0,19.454544067382812,18.909090042114258,19.454544067382812,9.692621231079102,5964,0.0,0.0,2007,3,29
9.909090042114258,10.090909004211426,9.909090042114258,10.0,4.3649749755859375,933900,0.0,0.0,2002,12,24
31.799999237060547,31.909090042114258,31.563636779785156,31.700000762939453,29.05167579650879,3200560,0.0,0.0,2023,1,17
19.09090805053711,19.27272605895996,18.909090042114258,19.0,7.941533088684082,1659900,0.0,0.0,2000,9,14
21.18181800842285,21.18181800842285,20.954544067382812,21.045454025268555,16.09564781188965,4723950,0.0,0.0,2018,11,15
13.709090232849121,13.872727394104004,13.663636207580566,13.718180656433105,9.594274520874023,6551834,0.0,0.0,2016,8,3
13.727272033691406,13.818181037902832,13.545454025268555,13.545454025268555,6.238399505615234,3202100,0.0,0.0,2005,3,11
